run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.277678589,1.307565701,Success,"33828.72,33745.52,37995.84,38160.06"
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.307861795,1.318568226,Success,6.828
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.318862817,1.332492792,Success,10.885
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.332786977,1.340388738,Success,1.945
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.340677285,1.350236675,Success,4.904
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.350555181,1.391612664,Success,27.927
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.391934703,1.400476808,Success,3.538
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.400798752,1.414445355,Success,10.400
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.414776225,1.424096938,Success,4.484
fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.424417394,1.433077864,Success,3.573
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.482728506,1.51137468,Success,"33749.20,33679.63,37879.45,38131.50"
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.511663437,1.522519192,Success,6.881
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.522832932,1.536414007,Success,10.922
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.536747041,1.544232201,Success,1.961
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.544520673,1.554247053,Success,4.910
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.554549933,1.595809136,Success,28.026
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.59617045,1.604839488,Success,3.519
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.605130686,1.618779421,Success,10.408
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.61907742,1.628281895,Success,4.484
b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.628571118,1.637177439,Success,3.587
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.687664531,1.716348859,Success,"33882.46,33798.87,37991.14,38260.73"
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.716660043,1.727471699,Success,6.869
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.727773085,1.741804656,Success,10.916
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.742104554,1.749684104,Success,1.950
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.749974645,1.75957718,Success,4.910
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.759874612,1.800833026,Success,27.861
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.801133369,1.809716213,Success,3.531
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.810004429,1.823559438,Success,10.400
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.823860945,1.833043588,Success,4.471
81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.833330371,1.841869329,Success,3.584
