,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
1,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.286264799,1.297576893,Success,6.833
2,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.297902942,1.311590995,Success,10.895
3,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.31189373,1.31955575,Success,1.95
4,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.319849925,1.329663333,Success,4.911
5,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.329960515,1.371409519,Success,27.945
6,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.371745756,1.380371532,Success,3.522
7,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.380666042,1.394361138,Success,10.403
8,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.394650928,1.403988841,Success,4.521
9,93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.404279788,1.412980737,Success,3.583
11,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.486494712,1.497401246,Success,6.847
12,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.497733298,1.511426553,Success,10.896
13,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.511729413,1.519467529,Success,1.939
14,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.519758967,1.52956722,Success,4.906
15,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.529858292,1.57135454,Success,27.872
16,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.571661444,1.580326575,Success,3.533
17,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.580616895,1.594667146,Success,10.422
18,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.594963992,1.604290067,Success,4.565
19,745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.60458314,1.613334457,Success,3.579
21,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.683477261,1.694315623,Success,6.865
22,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.694623183,1.70807232,Success,10.881
23,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.70836664,1.715885659,Success,1.972
24,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.716179944,1.726262181,Success,4.919
25,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.726557894,1.767683849,Success,27.988
26,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.76802613,1.776542504,Success,3.539
27,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.776857978,1.790352708,Success,10.413
28,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.790639461,1.799633318,Success,4.487
29,5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.799919399,1.808460218,Success,3.595
31,361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.878286173,1.888978334,Success,6.916
32,361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.88928387,1.902785745,Success,11.148
33,361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.903085347,1.910299945,Success,1.95
