run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.254684557,1.285971531,Success,"33897.61,33778.88,38058.51,38166.46"
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.286264799,1.297576893,Success,6.833
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.297902942,1.311590995,Success,10.895
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.31189373,1.31955575,Success,1.950
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.319849925,1.329663333,Success,4.911
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.329960515,1.371409519,Success,27.945
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.371745756,1.380371532,Success,3.522
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.380666042,1.394361138,Success,10.403
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.394650928,1.403988841,Success,4.521
93a631ce-2f7b-11ec-bca0-1458d0584f82,hp065.utah.cloudlab.us,0,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.404279788,1.412980737,Success,3.583
745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.454789139,1.486205725,Success,"33768.39,33668.05,37861.95,38098.52"
745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.486494712,1.497401246,Success,6.847
745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.497733298,1.511426553,Success,10.896
745b4375-2f7c-11ec-9aa0-1458d0584f82,hp065.utah.cloudlab.us,1,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.511729413,1.519467529,Success,1.939
