exp_command,coeff_of_variation_fixed,coeff_of_variation_random,KW_dist_type,KW_p-value,Normal_fixed,Normal_random,SW_test_stat_fixed,SW_p-value_fixed,SW_test_stat_random,SW_p-value_random,KW_test_stat,KW_p-value,percent_diff,KW_effect_size,fixed_pth_quantile,fixed_ci_low,fixed_ci_high,random_pth_quantile,random_ci_low,random_ci_high,ci_case,inner_diff
bt,0.003,0.003,different,0.018696905411584,False,False,0.979515969753265,0.001518501550891,0.974411487579346,0.000250153709203,5.52964435053436,0.018696905411584,0.063976401986677,0.011544142694226,6.8225,6.819,6.826,6.818,6.814,6.823,2,
cg,0.003,0.004,different,0.029733143039278,False,False,0.946726322174072,1.09022344929599E-07,0.782068729400635,1.40449940968359E-17,4.72465525893303,0.029733143039278,-0.061162149782533,0.009863580916353,10.875,10.87,10.882,10.8835,10.88,10.888,3,
ep,0.006,0.007,same,0.189056897231307,False,False,0.788599729537964,2.56672952935122E-17,0.6829794049263,5.57685451711E-21,1.72495170786312,0.189056897231307,-0.073931211828993,0.003601151790946,1.939,1.938,1.94,1.94,1.939,1.941,2,
ft,0.002,0.002,same,0.073034873946956,True,False,0.993570804595947,0.392298519611359,0.977991342544556,0.000872073869687,3.21346029964129,0.073034873946956,0.022259919096701,0.006708685385472,4.886,4.884,4.887,4.884,4.882,4.885,3,
is,0.003,0.003,same,0.055849272911761,False,True,0.96998393535614,5.87838221690617E-05,0.992426633834839,0.256673604249954,3.65654681784008,0.055849272911761,-0.040257118972574,0.007633709431816,27.847,27.831,27.858,27.8615,27.849,27.875,3,
lu,0.009,0.009,same,0.351692260303575,False,False,0.980673313140869,0.00233524851501,0.980564832687378,0.002242136048153,0.86734181114028,0.351692260303575,-0.058764043485394,0.001810734470021,3.5275,3.523,3.534,3.537,3.528,3.541,3,
mg,0.003,0.002,same,0.734616567996211,False,True,0.639636278152466,3.2275197592013E-22,0.995249152183533,0.666086614131928,0.114914846015219,0.734616567996211,0.029809153215434,0.000239905732808,10.3825,10.379,10.387,10.382,10.38,10.385,2,
sp,0.008,0.031,same,0.135164422586924,False,False,0.97732013463974,0.000686159648467,0.194626092910767,7.46594830342846E-31,2.23216400612708,0.135164422586924,-0.095783834148616,0.004660050117176,4.469,4.463,4.477,4.464,4.456,4.472,2,
ua,0.004,0.01,different,0.03825690791137,False,False,0.940875232219696,2.894175388235E-08,0.269155144691467,9.89860057245516E-30,4.2935632273998,0.03825690791137,0.026658812600193,0.008963597551983,3.578,3.575,3.581,3.5745,3.573,3.578,3,
add_omp,0.005,0.003,different,5.29133025571183E-06,False,False,0.467956721782684,3.25485334533991E-26,0.908612608909607,6.12021058832291E-11,20.7288305613308,5.29133025571183E-06,0.048306874323758,0.043275220378561,38405.205,38396.24,38415.48,38364.095,38351.78,38380.09,1,16.1500000000015
copy_omp,0.005,0.003,different,1.38088914743771E-09,False,False,0.380735397338867,7.24490837579249E-28,0.873463988304138,3.19430544298491E-13,36.6956261342534,1.38088914743771E-09,0.068469592507661,0.076608822827252,34223.19,34214.19,34229.85,34180.155,34165.94,34187.54,1,26.6500000000015
scale_omp,0.005,0.003,different,4.5033896864847E-11,False,False,0.363098442554474,3.53566552532984E-28,0.867544710636139,1.45956231584372E-13,43.3818805163829,4.5033896864847E-11,0.070489024908101,0.090567600242971,34117.085,34108.6,34125.99,34074.71,34061.36,34091.98,1,16.6199999999953
triad_omp,0.004,0.002,different,1.23801392057261E-08,False,False,0.448918223381043,1.36325148443023E-26,0.909095466136932,6.63607502282559E-11,32.4262718982718,1.23801392057261E-08,0.06807267219863,0.067695765967165,38534.07,38521.37,38546.01,38489.22,38475.3,38501.63,1,19.7400000000052
