run_uuid,hostname,run_num,total_runs,order_type,random_seed,time_start,time_stop
ccb08ac8-4a9b-11ed-beb9-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,0,20,fixed,1665626853.2861211,38803.714517358,40775.900931081
d29c5dd8-4aa0-11ed-8635-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,1,20,random,1665626853.2861211,40961.129229084,42940.285034942
dcb6287c-4aa5-11ed-8c88-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,2,20,fixed,1665626853.2861211,43125.55875388,45094.20329521
e084f63d-4aaa-11ed-a6fd-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,3,20,random,1665626853.2861211,45279.431987332,47254.352976548
e8120b22-4aaf-11ed-8e64-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,4,20,fixed,1665626853.2861211,47439.583341462,49405.505822953
ea41a259-4ab4-11ed-985e-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,5,20,random,1665626853.2861211,49590.733794925,51564.922769276
f15eac65-4ab9-11ed-adf5-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,6,20,fixed,1665626853.2861211,51750.152355163,53716.501326587
f3cf67a0-4abe-11ed-9ef9-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,7,20,random,1665626853.2861211,53901.730282434,55862.342817396
f2db1685-4ac3-11ed-ad3d-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,8,20,fixed,1665626853.2861211,56047.613499507,58021.494212232
f9c9440c-4ac8-11ed-91f5-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,9,20,random,1665626853.2861211,58206.724087824,60176.509239815
fe462f7d-4acd-11ed-8a21-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,10,20,fixed,1665626853.2861211,60361.738208722,62330.943452202
026b0e5d-4ad3-11ed-b130-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,11,20,random,1665626853.2861211,62516.173637497,64499.328074631
0ee02d4c-4ad8-11ed-b354-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,12,20,fixed,1665626853.2861211,64684.558362739,66650.901168388
1150413e-4add-11ed-985f-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,13,20,random,1665626853.2861211,66836.130225798,68820.867259561
1eb6a0da-4ae2-11ed-8fe4-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,14,20,fixed,1665626853.2861211,69006.094979087,70974.075416098
221ffa52-4ae7-11ed-8b4e-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,15,20,random,1665626853.2861211,71159.302490844,73131.928687373
284e5a7e-4aec-11ed-8a33-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,16,20,fixed,1665626853.2861211,73317.155590718,75287.708031443
2d404a67-4af1-11ed-9fcf-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,17,20,random,1665626853.2861211,75472.937868058,77454.408900646
38b46b88-4af6-11ed-bd03-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,18,20,fixed,1665626853.2861211,77639.636111483,79618.145881952
4264339c-4afb-11ed-bc17-043f72accbde,node0.pts-ufs.utahstud-pg0.utah.cloudlab.us,19,20,random,1665626853.2861211,79803.37204855,81777.292902765
